"requestedUrl","finalUrl","path","status","redirectCount","contentType","responseRobots","metaRobots","title","titleLength","metaDescription","metaDescriptionLength","canonical","ogUrl","htmlLang","h1Count","h1","h2Count","wordCount","jsonLdTypes","internalLinkCount","inSitemap","error"
"https://preview.artisanlabnetwork.com/","https://preview.artisanlabnetwork.com/","/","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","Artisan Lab Network | Independent Optical Lab Partnership","57","Explore Artisan Lab Network, an independent optical lab network built for eye care practices that want better partnership, resources, and lab support.","150","https://www.artisanslabs.com","https://www.artisanslabs.com","en","1","What brought you to Artisan?","11","812","","15","true",""
"https://preview.artisanlabnetwork.com/about","https://preview.artisanlabnetwork.com/about","/about","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","About Us | Artisan Lab Network","30","Meet Artisan Lab Network, its independent labs, leadership, timeline, advocacy work, and commitment to independent eye care.","124","https://www.artisanslabs.com/about","https://www.artisanslabs.com","en","1","Built for independent practices that want control back.","7","1410","","15","true",""
"https://preview.artisanlabnetwork.com/acquios","https://preview.artisanlabnetwork.com/acquios","/acquios","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","Acquios Alliance 90 Day Trial | Artisan Lab Network","51","Acquios Alliance members can try Artisan Lab Network for 90 days and earn 30% back on qualifying private pay lab orders. Program Code AQU2630.","142","https://www.artisanslabs.com","","en","1","Your Lab May Be Costing You Thousands More Than You Think.","8","755","","15","true",""
"https://preview.artisanlabnetwork.com/acquios-partners","https://preview.artisanlabnetwork.com/acquios-partners","/acquios-partners","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","Acquios Partners | Artisan Lab Network","38","Acquios practices can explore Artisan Lab Network onboarding, rebate structure, and support for independent optical lab partnership.","132","https://www.artisanslabs.com/acquios-partners","https://www.artisanslabs.com","en","1","Built for Acquios Practices Ready to Win Faster","3","347","","15","true",""
"https://preview.artisanlabnetwork.com/advocacy","https://preview.artisanlabnetwork.com/advocacy","/advocacy","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","Protect Lab Choice | Artisan Lab Network Advocacy","49","Find elected officials, learn about VBM reform, generate advocacy letters, and support laboratory choice legislation for independent doctors and patients.","154","https://www.artisanslabs.com/advocacy","https://www.artisanslabs.com/advocacy","en","1","Protect Laboratory Choice.","9","1293","WebPage","16","true",""
"https://preview.artisanlabnetwork.com/artisan-ar","https://preview.artisanlabnetwork.com/artisan-ar","/artisan-ar","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","Anti-Reflective Coatings | Artisan Lab Network","46","Overview of Artisan AR and TechShield anti-reflective coating resources for practice teams.","91","https://www.artisanslabs.com","https://www.artisanslabs.com","en","1","Anti-Reflective Coatings","7","443","","5","true",""
"https://preview.artisanlabnetwork.com/artisan-ar/armour","https://preview.artisanlabnetwork.com/artisan-ar/armour","/artisan-ar/armour","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","Artisan Armour AR | Artisan Lab Network","39","Artisan Lab Network supports independent eye care practices with optical lab partnership, provider resources, programs, and lab access.","135","https://www.artisanslabs.com","https://www.artisanslabs.com","en","1","Our strongest ultra premium AR treatment.","5","347","","15","false",""
"https://preview.artisanlabnetwork.com/artisan-ar/azure","https://preview.artisanlabnetwork.com/artisan-ar/azure","/artisan-ar/azure","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","Artisan Azure AR | Artisan Lab Network","38","Artisan Lab Network supports independent eye care practices with optical lab partnership, provider resources, programs, and lab access.","135","https://www.artisanslabs.com","https://www.artisanslabs.com","en","1","Blue light reflection and absorption with better cosmetics.","5","373","","15","false",""
"https://preview.artisanlabnetwork.com/artisan-ar/emerald","https://preview.artisanlabnetwork.com/artisan-ar/emerald","/artisan-ar/emerald","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","Artisan Emerald AR | Artisan Lab Network","40","Artisan Lab Network supports independent eye care practices with optical lab partnership, provider resources, programs, and lab access.","135","https://www.artisanslabs.com","https://www.artisanslabs.com","en","1","Premium everyday AR with best-in-class anti-reflectance.","5","351","","15","false",""
"https://preview.artisanlabnetwork.com/artisan-ar/nytopia","https://preview.artisanlabnetwork.com/artisan-ar/nytopia","/artisan-ar/nytopia","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","Artisan Nytopia AR | Artisan Lab Network","40","Artisan Lab Network supports independent eye care practices with optical lab partnership, provider resources, programs, and lab access.","135","https://www.artisanslabs.com","https://www.artisanslabs.com","en","1","Flagship nighttime performance with ultra premium optics.","5","368","","15","false",""
"https://preview.artisanlabnetwork.com/artisan-model","https://preview.artisanlabnetwork.com/artisan-model","/artisan-model","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","The Artisan Model | Artisan Lab Network","39","See how Artisan Lab Network gives independent practices more product flexibility, lab accountability, and partnership support.","126","https://www.artisanslabs.com/artisan-model","https://www.artisanslabs.com","en","1","Take Control of Your Lab Relationship","13","1008","","15","true",""
"https://preview.artisanlabnetwork.com/careers","https://preview.artisanlabnetwork.com/careers","/careers","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","Careers | Artisan Lab Network","29","Explore Artisan Lab Network careers for people who care about optical lab craft, service, training, and independent practice support.","133","https://www.artisanslabs.com/careers","https://www.artisanslabs.com","en","1","Build Something You Can Be Proud Of","8","710","","15","true",""
"https://preview.artisanlabnetwork.com/cookie-policy","https://preview.artisanlabnetwork.com/cookie-policy","/cookie-policy","200","0","text/html; charset=utf-8","noindex, nofollow, noarchive, nosnippet","","Cookie Policy | Artisan Lab Network","35","Review how Artisan Lab Network uses required cookies, consent-controlled services, analytics, and cookie preference controls.","125","https://www.artisanslabs.com/cookie-policy","https://www.artisanslabs.com","en","1","Cookie Policy","6","366","","15","true",""
"https://preview.artisanlabnetwork.com/files/armou-rx-frame-book.pdf","https://preview.artisanlabnetwork.com/files/armou-rx-frame-book.pdf","/files/armou-rx-frame-book.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/artcraft-frame-book.pdf","https://preview.artisanlabnetwork.com/files/artcraft-frame-book.pdf","/files/artcraft-frame-book.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/artisan-design-series.pdf","https://preview.artisanlabnetwork.com/files/artisan-design-series.pdf","/files/artisan-design-series.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/artisan-diamond-series-guide.pdf","https://preview.artisanlabnetwork.com/files/artisan-diamond-series-guide.pdf","/files/artisan-diamond-series-guide.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/artisan-gold-series-guide.pdf","https://preview.artisanlabnetwork.com/files/artisan-gold-series-guide.pdf","/files/artisan-gold-series-guide.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/artisan-platinum-series-guide.pdf","https://preview.artisanlabnetwork.com/files/artisan-platinum-series-guide.pdf","/files/artisan-platinum-series-guide.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/artisan-policies-guide.pdf","https://preview.artisanlabnetwork.com/files/artisan-policies-guide.pdf","/files/artisan-policies-guide.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/ArtisanDesigns/diamond_series.pdf","https://preview.artisanlabnetwork.com/files/ArtisanDesigns/diamond_series.pdf","/files/ArtisanDesigns/diamond_series.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/ArtisanDesigns/gold_series.pdf","https://preview.artisanlabnetwork.com/files/ArtisanDesigns/gold_series.pdf","/files/ArtisanDesigns/gold_series.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/ArtisanDesigns/platinum_series.pdf","https://preview.artisanlabnetwork.com/files/ArtisanDesigns/platinum_series.pdf","/files/ArtisanDesigns/platinum_series.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/ArtisanDesigns/sd_digital.pdf","https://preview.artisanlabnetwork.com/files/ArtisanDesigns/sd_digital.pdf","/files/ArtisanDesigns/sd_digital.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/ArtisanDesigns/sd_reach.pdf","https://preview.artisanlabnetwork.com/files/ArtisanDesigns/sd_reach.pdf","/files/ArtisanDesigns/sd_reach.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
"https://preview.artisanlabnetwork.com/files/dvx-wileyx-frame-book.pdf","https://preview.artisanlabnetwork.com/files/dvx-wileyx-frame-book.pdf","/files/dvx-wileyx-frame-book.pdf","200","0","application/pdf","noindex, nofollow, noarchive, nosnippet","","","0","","0","","","","0","","0","0","","0","false",""
