Color Description            %Trans
      CLEAR                  100.0
CLR   CLEAR                  100.0
2BL   SENSITY 2 BLUE         100.0
2BN   SENSITY 2 BROWN        100.0
2GN   SENSITY 2 GREEN        100.0
2GY   SENSITY 2 GRAY         100.0
3D    3D                     100.0
420   UV++                   100.0
ABN   ACTIVATIONS BROWN      100.0
AGB   ADAPTIVE GRADNT BRN    100.0
AGG   ADAPTIVE GRADNT GRAY   100.0
AGL   ADAPTIVE GRADNT BLUE   100.0
AGN   APPLE GREEN            100.0
AGP   ADAPTIVE GRADNT PIO    100.0
AGY   ACTIVATIONS GRAY       100.0
AMB   AMBER                  100.0
AMT   AMETHYST               90.0
APB   ADAPTIVE POLAR BROWN   100.0
APG   ADAPTIVE POLAR GRAY    100.0
APP   ADAPTIVE POLAR PIO     100.0
AQA   AQUA                   100.0
ASB   ADAPTIVE SUN BROWN     100.0
ASG   ADAPTIVE SUN GRAY      100.0
ASH   ASH                    100.0
ASL   ADAPTIVE SUN BLUE      100.0
ASP   ADAPTIVE SUN PIONEER   100.0
AUT   AUTUMN                 90.0
BLM   BLUTECH BLUMAX         100.0
BLT   BLUTECH                100.0
BLU   BLUE                   100.0
BMR   BLUE MIRROR            100.0
BN2   BROWN2                 50.0
BN3   BROWN 3                60.0
BN4   BROWN4                 75.0
BNA   BROWN A                100.0
BNC   BROWN C                100.0
BNZ   BRONZE                 100.0
BRN   BROWN                  100.0
BSE   SUNSYNC ELITE XT BRN   100.0
BTD   BROWN THIN & DARK      100.0
BUV   BLUE LIGHT UV++        100.0
C12   COPPER LTL 12          100.0
C28   COPPER LTL 28          100.0
C50   COPPER LTL 50          100.0
CBL   CHEMISTRIE BLUE        100.0
CBN   CHANGERX BROWN         100.0
CGY   CHANGERX GRAY          100.0
CHL   CHOCOLATE              100.0
CLT   CALIENTE               100.0
CMB   COLORMATIC BROWN       100.0
CME   COLORMATIC EXTRA       100.0
CMG   COLORMATIC GRAY        100.0
CNY   CANARY YELLOW          100.0
COP   COPPER                 100.0
CRM   CARAMEL                100.0
CTB   COPPERTONE BROWN       100.0
CTG   COPPERTONE GRAY HEV    100.0
CTR   COPPERTONE GREEN       100.0
DBN   SENSITY DARK BROWN     100.0
DGY   SENSITY DARK           100.0
DID   DIDYMIUM               60.0
DRV   DRIVEWEAR              100.0
EME   EMERALD                100.0
EXG   EXTRA GRAY             100.0
FBN   SENSITY FAST BROWN     100.0
FGY   SENSITY FAST GRAY      100.0
FSG   FOREST GRAY            100.0
FST   FOREST                 100.0
G12   GREY LTL 12            100.0
G15   GRAY GREEN             100.0
G28   GREY LTL 28            100.0
G31   GREY 31 % TRANS        31.0
G50   GREY 50 % TRANS        50.0
GAM   GRADIENT AMBER         100.0
GBG   GRADIENT BROWN GRAY    100.0
GBN   GRADIENT BROWN         100.0
GCG   GRADIENT CRIMS GRAY    100.0
GEM   GRADIENT EMERALD       100.0
GGN   GRADIENT GREEN         100.0
GGY   GRADIENT GRAY          100.0
GLD   GOLD                   10.0
GMB   GRADIENT MED BROWN     100.0
GMR   GREEN MIRROR           100.0
GN1   GREEN 1                50.0
GN2   GREEN 2                30.0
GN3   GREEN 3                10.0
GNA   GREEN A                100.0
GOC   GRADIENT OCEAN         100.0
GRE   GRADIENT ROSE          100.0
GRN   GREEN                  100.0
GRO   GRADIENT ROUGE         100.0
GRS   GRASS                  100.0
GRY   GRAY                   100.0
GSE   SUNSYNC ELITE XT GRY   100.0
GTB   GRAY TOTAL BLUE        100.0
GTD   GRAY THIN&DARK         70.0
GVG   GRADIENT VIOLET GRAY   100.0
GVR   GRADIENT VIOLET ROSE   100.0
GY1   GRAY 1                 50.0
GY2   GRAY 2                 30.0
GY3   GRAY 3                 10.0
GY5   GRAY 5                 100.0
GYA   GRAY A                 100.0
GYC   GRAY C                 100.0
HMB   HIGH MOUNTAIN BROWN    100.0
ISB   INSTASHADE BROWN       100.0
ISG   INSTASHADE GREY        100.0
L2B   LENSCHOICE BROWN 2     100.0
L2G   LENSCHOICE GRAY 2      100.0
L2L   LENSCHOICE 2 BLUE      100.0
LCB   LENS CHOICE BROWN      100.0
LCG   LENS CHOICE GRAY       100.0
LDB   LENSCHOICE DARK BRWN   100.0
LDG   LENSCHOICE DARK GRAY   100.0
MAG   MAGENTA                100.0
MEL   MELANIN                100.0
MRD   MORADO                 100.0
NAB   NEOCHROMES AGILE BRN   100.0
NAG   NEOCHROMES AGILE GRA   100.0
NCB   NEOCHROMES BROWN       100.0
NCG   NEOCHROMES GRAY        100.0
NDB   NEOCHROMES DYN BROWN   100.0
NDG   NEOCHROMES DYN GRAY    100.0
OCN   SENSITY 2 BLUE         100.0
ORN   ORANGE                 100.0
PBN   PHOTOCHROMIC BROWN     100.0
PBX   PHOTOBROWN EXTRA       50.0
PEW   PEWTER                 80.0
PGX   PHOTOGRAY EXTRA        50.0
PGY   PHOTOCHROMIC GRAY      100.0
PIO   PIONEER GRAY GREEN     100.0
PK1   PINK 1                 50.0
PK2   PINK 2                 50.0
PK3   PINK 3                 40.0
PNK   PINK                   100.0
PUR   PURPLE                 50.0
PVB   PHOTOVIEWS BROWN       100.0
PVG   PHOTOVIEWS GRAY        100.0
QTZ   QUARTZ                 100.0
RED   RED                    100.0
RSE   ROSE                   100.0
RUB   RUBY (DARK RED)        100.0
SAP   SAPPHIRE               90.0
SBL   SKY BLUE               100.0
SBN   SENSITY BROWN          100.0
SEB   SUNSYNC ELITE BROWN    100.0
SED   SERENGETI SEDONA       100.0
SEG   SUNSYNC ELITE GRAY     100.0
SGB   SERENGETI BROWN2       100.0
SGD   SERENGETI DRIVERS      100.0
SGG   SERENGETI GRAY2        100.0
SGN   SENSITY GREEN          100.0
SGY   SENSITY GRAY           100.0
SIL   SILVER                 100.0
SMK   SMOKE                  100.0
SNF   SUNFLOWER              100.0
SNS   SUNSET                 100.0
SPG   SHORE PHOTO GRAY       100.0
SSB   SUNSENSOR BROWN        100.0
SSG   SUNSENSOR GREY         100.0
STB   SUNTECH BROWN          100.0
STG   SUNTECH GRAY           100.0
SUG   SUNSYNC PLUS GRAY      100.0
